,,,bg_slope,bg_intercept,amplitude,Time,center,sigma,fwhm,height
Am,-100,1,-16.49561403680093,4010.5638324418505,52516.602542004686,100.0,233.0932508125747,3.1485887438050844,7.414359745687089,6654.122183316231
Am,-100,2,34.61158206324269,-4425.157830049825,62402.95026037362,100.0,88.86109820170284,17.51386360808179,41.241996301583164,1421.4554287251126
Am,-120,1,-18.05031981970334,4414.840272987726,61725.4659375004,100.0,233.11608043627737,3.2261548838052523,7.597014043482285,7632.894339106552
Am,-120,2,-4.1118303191884085,538.7665680840094,2695.1554388009235,100.0,100.32926383525894,6.510436874486695,15.33090696077876,165.15197525780835
Am,-140,1,-20.788014488203412,5082.182972300937,52980.02166850617,100.0,233.04753621978148,3.1201378209111503,7.347362943437996,6774.050670720536
Am,-140,2,29.122349104599625,-3582.1090072465645,61433.657512828635,100.0,88.27770155920064,18.087858483100188,42.59365091317399,1354.9688399253487
Am,-20,1,-13.072764803690909,3208.2472245427484,40885.99237055773,100.0,232.91719124734055,3.090940045096798,7.278607436994842,5277.084510250325
Am,-20,2,-2.5075369236883387,303.13906291513234,2149.9806884197674,100.0,102.54035610581381,3.09098319438809,7.278709045808963,277.49042516666435
Am,-40,1,-12.838334923086778,3144.419626287599,41381.79584468434,100.0,232.96023614133392,3.131498959124598,7.374116378925787,5271.899824301345
Am,-40,2,-3.1919138253710746,382.1353219133345,1837.647974265985,100.0,102.45685177597291,3.2501699347913338,7.653565165845329,225.56220879296276
Am,-60,1,-13.067647122623102,3187.161647234729,42263.113400107075,100.0,232.96743924491656,3.11355891327843,7.331870800166313,5415.19981943948
Am,-60,2,-3.2982136635163846,398.22972327233197,1229.0954472118274,100.0,102.3059914199839,3.377533438353743,7.953483291304162,145.17640567585696
Am,-80,1,-14.22195948540154,3464.109840523103,44799.87073366086,100.0,233.0524225416656,3.218838412558088,7.579785070660037,5552.488562476672
Am,-80,2,21.512408246630027,-2744.672855192269,37293.49224934511,100.0,90.084568343066,16.450056503933926,38.73692205659369,904.4316394553383
Am,0,1,-13.68406757315727,3330.8705503512033,40107.60787172955,100.0,232.91712100519214,3.122866011776231,7.3537873418509045,5123.697677552623
Am,0,2,-2.3814599001249395,287.29971674807695,2248.91480024443,100.0,102.33267082897068,3.067178711494381,7.222653773401198,292.5122163737335
Am,100,1,-16.380586856953144,4031.5390230314124,59034.43845259825,100.0,233.04332664904192,3.4594668301117695,8.146421680883797,6807.793169309586
Am,100,2,-2.6682126414613325,334.3785599544596,1290.554021110351,100.0,102.77074617434475,3.4199845509551903,8.053448020280301,150.54354245904833
Am,120,1,-19.110734015494295,4680.472223740591,67360.12644112318,100.0,233.087831928555,3.507298645543643,8.259056996499082,7661.966227158032
Am,120,2,-3.7077325172922473,524.8798427212546,1690.263396823337,100.0,102.35340559328095,3.9403027694669666,9.278703767596202,171.13343988683758
Am,20,1,-14.339980837567861,3492.2860904472377,42414.5007177392,100.0,232.8774891187112,3.142001292640721,7.3988474839362235,5385.401498503264
Am,20,2,-2.662198752427629,320.84547238070365,2218.671933521384,100.0,102.31383167035023,3.127184127252969,7.363955726537837,283.0412435234478
Am,40,1,-13.455499898343016,3283.0667486906773,44157.467624894394,100.0,232.9022929830032,3.173094887821767,7.472067303740454,5551.766435999633
Am,40,2,-2.4402073012059633,296.71077955865456,1847.7472811464083,100.0,102.43399100601503,3.0651335538748077,7.217837795335475,240.49345230893084
Am,60,1,-13.0945795563674,3211.600284816093,44899.313598471854,100.0,232.93192645720563,3.1918012198586654,7.516117348547583,5611.95206140964
Am,60,2,-2.333546140683921,287.6106283035364,1367.366250663385,100.0,102.62220280522818,3.1340253043488078,7.38006546718666,174.05738116571212
Am,80,1,-15.45555663314782,3762.97689478114,48563.5682802504,100.0,233.02297705276112,3.1901259259361305,7.512172332912919,6073.133812184827
Am,80,2,-2.264162741512365,282.16702492297276,885.1753655638537,100.0,102.59206167177496,3.3335473620760423,7.849903999163907,105.93336703680804
Ba,-105,1,-8.754338658622636,3005.2996629435943,27783.168106635607,600.0,317.2879858092865,3.491185409019812,8.221113224868034,3174.818775626063
Ba,-105,2,-0.0811863219070458,116.7396386913699,3501.3742633453508,600.0,1083.663593697988,3.6131924791887218,8.508417913843186,386.5961500322388
Ba,-105,3,-0.06597477455079959,108.29904645360747,7828.529305849817,600.0,1187.2077321428712,3.3934884966148204,7.991054581598512,920.330653841501
Ba,-105,4,-1.5116326414218635,2134.3699237112587,22687.919260084498,600.0,1395.3969989679943,3.55544466801671,8.37243221313911,2545.721150789646
Ba,-105,5,0.03959811945193508,-49.04065871964913,3056.0271172587168,600.0,1504.444348181602,3.54940268479777,8.358204430215485,343.4883543203906
Ba,-120,1,-9.427233100774227,3252.498650286166,30600.949893085282,600.0,317.3145036063167,3.4663575233035675,8.162648023025707,3521.856372419861
Ba,-120,2,-0.19816179748010393,252.92575456781034,3719.5071733158084,600.0,1083.682497048983,3.470913738395782,8.173377089449156,427.5153053140799
Ba,-120,3,-0.22610673979698342,295.6432520465172,9166.578136043554,600.0,1187.124021621413,3.552354218105791,8.365154759879879,1029.4400671205879
Ba,-120,4,-1.7181020357443004,2425.9866056445194,25450.011878127705,600.0,1395.3616402051973,3.525860202249782,8.302766121461833,2879.60545548831
Ba,-120,5,0.23021477245813857,-331.4556958037999,3447.0176532956543,600.0,1504.13968398251,3.562137498096037,8.38819262326651,386.0494300069536
Ba,-135,1,-10.58626200645796,3625.0077866394495,30281.62313127984,600.0,317.2635283735077,3.5236903817101792,8.297656584658764,3428.4000780632728
Ba,-135,2,-0.6396975285036941,733.5176772112699,4051.140481915268,600.0,1083.7872229575985,3.5240098133777114,8.298408788738103,458.61713986809514
Ba,-135,3,-0.32644877496498087,422.0909207515152,9566.359127479313,600.0,1187.2400947065807,3.4492284043291743,8.122312031082426,1106.4576959161482
Ba,-135,4,-1.6819778371703014,2373.0745247473005,27299.379292193702,600.0,1395.388095699634,3.5632156298323934,8.390731429441917,3056.474346435333
Ba,-135,5,0.23703327933424762,-341.09259827434926,3535.3426086132977,600.0,1504.4232523940984,3.5032724974022855,8.24957614233285,402.594349315965
Ba,-15,1,-5.662884413696114,1977.4982807247445,17100.065578801277,600.0,317.0505067306588,3.4707197525891322,8.172920287791941,1965.5690976111496
Ba,-15,2,-0.23767191195062193,287.73073747690023,1852.7572248503398,600.0,1083.5089552492536,3.329950047806456,7.841432971575599,221.96826319070732
Ba,-15,3,-0.37730833146884696,466.438920190536,4754.472363954007,600.0,1187.0275638227945,3.544662675433366,8.347042561363999,535.1031434691746
Ba,-15,4,-1.355480197420802,1914.1228402650659,13168.179975204574,600.0,1395.15785588519,3.526503244465725,8.304280370132778,1489.6750809364285
Ba,-15,5,-0.03874566605729666,66.98021485093265,1830.455061804687,600.0,1504.3450449491002,3.6672173557281496,8.635636773615762,199.1280803856277
Ba,-30,1,-6.756879305190028,2332.6530161144688,18416.1877054077,600.0,317.0661949710764,3.4994755443914607,8.2406350014439,2099.4563863153594
Ba,-30,2,-0.054892300398769155,89.86373363043987,2026.0602192702918,600.0,1083.427299576657,3.4375137646688003,8.094726163317384,235.1353853828339
Ba,-30,3,-0.4472198453844292,547.3799479950198,5012.280513995884,600.0,1187.0097497269953,3.6897402866896334,8.688674221902483,541.9380664032357
Ba,-30,4,-1.0531989887344886,1489.9461551445627,13802.62200606445,600.0,1395.2326876202653,3.5432635283000398,8.3437478217115,1554.0615946711164
Ba,-30,5,0.19620903590585315,-284.29742247863294,1852.0660661441066,600.0,1504.1097542776226,3.51363428562431,8.273976288473838,210.2858283238201
Ba,-45,1,-6.603033281033963,2279.6406160541105,19063.077810517563,600.0,317.0629193891981,3.521889518614232,8.293415876223166,2159.371572166531
Ba,-45,2,-0.09263918490125711,126.28016267613371,2200.8965561230375,600.0,1083.4981576073897,3.8150608262825414,8.983781534946655,230.14855441174484
Ba,-45,3,-0.1295959041576502,174.38710359386303,5029.975739232044,600.0,1187.0815348846215,3.6082399702413412,8.496755646723715,556.1354308203659
Ba,-45,4,-1.2339171818483077,1743.1239629715044,14446.857034506293,600.0,1395.1798521666467,3.629044758063177,8.545747177182331,1588.1486058587723
Ba,-45,5,0.2511315499708162,-367.9873802371016,1874.8387609835715,600.0,1504.1886894692761,3.5266238070446407,8.30456427330486,212.0874038058317
Ba,-60,1,-7.432684039233638,2560.4566531731098,19723.241512519624,600.0,317.06571385417516,3.456933525932113,8.140456205535457,2276.1315117676286
Ba,-60,2,-0.23618853150930982,286.3725037366998,2191.2744086345797,600.0,1083.4353443727805,3.440045048710472,8.100686881604394,254.12226878817094
Ba,-60,3,-0.20446227400784994,264.59554061982976,5256.614068276015,600.0,1187.030917744578,3.49736657377935,8.235668755267088,599.618502198991
Ba,-60,4,-1.239509219067322,1753.184157849216,15051.78408332769,600.0,1395.2179781573248,3.5348645205339433,8.323969670243741,1698.7336647343739
Ba,-60,5,0.1599211818457894,-233.29371594898916,2117.8837967731793,600.0,1504.2150437392168,3.7163465324817557,8.751327141618688,227.3505513096477
Ba,-75,1,-6.907302568005514,2414.3902964146487,20752.971409306087,600.0,317.08187218321797,3.383430563361596,7.967369959215154,2446.99514023335
Ba,-75,2,0.21198306150690385,-198.5748437741806,2387.472595490251,600.0,1083.3802818151898,3.5204681622175458,8.290068837753122,270.5503258498133
Ba,-75,3,-0.4440130485291336,551.9073019243763,5744.184207493752,600.0,1187.1618624791925,3.549033027725716,8.357333954349071,645.69645913657
Ba,-75,4,-0.9043971823586668,1285.9836575176953,16040.440591762592,600.0,1395.3013919022883,3.5302842560547996,8.313183971842964,1812.6614738503927
Ba,-75,5,0.03466099994510451,-42.0867568339382,2310.2115819456762,600.0,1504.4532794662132,3.4688252529904835,8.16845908224705,265.6925773915816
Ba,-90,1,-8.859158778210187,3034.022462939984,24027.185971441784,600.0,317.22875815928427,3.4517225397496922,8.12818527105337,2777.007920998722
Ba,-90,2,-0.03974708757171508,75.45657677167435,2802.5328209262116,600.0,1083.6982605761632,3.4555471347832465,8.137191503930286,323.55191400852414
Ba,-90,3,-0.18413818061411605,244.34248107586188,6594.248977660504,600.0,1187.043506372832,3.499867883745531,8.241558890001652,751.6640459882586
Ba,-90,4,-1.507049143997782,2126.439075637548,19511.856678851214,600.0,1395.3363862055705,3.5325390709385904,8.318493655027613,2203.5439168300663
Ba,-90,5,0.09430121734964546,-131.88991035920589,2667.55941336296,600.0,1504.246543959605,3.722832482720388,8.766600386959624,285.85822560998633
Ba,0,1,-5.339992208907189,1865.3565072039632,17223.728643170867,600.0,317.02688692352666,3.4710831301485023,8.173775976536296,1979.5763056785372
Ba,0,2,-0.24308378264476627,297.2130936632543,1846.3511767704351,600.0,1083.443938536666,3.2188557970404137,7.579826007986707,228.8352232944892
Ba,0,3,-0.4390150857919398,538.8393503868051,4668.609099435105,600.0,1187.009914305877,3.647894254505375,8.590134348394347,510.57007741637796
Ba,0,4,-0.5773364370494852,829.2009927657091,12810.070702994448,600.0,1395.1546121967629,3.4531204802895616,8.131477169395467,1479.9596766420043
Ba,0,5,0.05158476100806717,-65.53694994128462,1689.8557540147485,600.0,1504.2585230695447,3.4695024620856354,8.170053787768497,194.30882339527747
Ba,105,1,-9.557604526278466,3267.4311743308526,29428.21298120152,600.0,317.24636606095225,3.2186630147669577,7.579372040433528,3647.526602737696
Ba,105,2,-0.08051847165857465,118.5336485017318,3557.6921604851964,600.0,1083.666180784657,3.307039961086979,7.78748384116684,429.1795411898876
Ba,105,3,-0.38536222463594844,481.9956832813934,8177.859948097477,600.0,1187.179140720559,3.3428085563777628,7.871712444729484,975.9740056149366
Ba,105,4,-1.1720858697460257,1654.931825041172,23294.52042748394,600.0,1395.287421507835,3.3478485669619364,7.883580762453308,2775.8631762638765
Ba,105,5,0.031354118631486676,-33.45470173696176,3014.486356432634,600.0,1504.248368263659,3.2720177646439814,7.705012872538941,367.542662313359
Ba,120,1,-9.942680165809458,3426.5222742277865,31635.64934654119,600.0,317.2495575514464,3.2033041930915047,7.543204779975738,3939.9313807042236
Ba,120,2,-0.1913494094108816,245.65076065135295,3893.0612260467037,600.0,1083.6834574505897,3.2845805904133014,7.734596065917051,472.84782845424513
Ba,120,3,-0.3859024746260315,487.6917968280356,9010.065670803164,600.0,1187.2662520719568,3.2689772785657887,7.697853075112291,1099.5782520208538
Ba,120,4,-1.232381649301444,1740.889915340035,26132.268865933733,600.0,1395.3222183538353,3.3326882425844677,7.847880927402756,3128.185622759992
Ba,120,5,0.13355299475917407,-186.6355835970624,3347.164621164957,600.0,1504.4560306398346,3.243527065704716,7.63792240486278,411.6893509430459
Ba,135,1,-11.923823319215044,4060.1384687362993,31650.95829033345,600.0,317.2201122754374,3.2722976647290096,7.705671986857167,3858.7278393560728
Ba,135,2,-0.07182573672122555,116.61820047609785,4071.3406235458697,600.0,1083.5832082110333,3.283813761531218,7.7327903219289436,494.6169638084034
Ba,135,3,-0.5770329098909166,714.1233776859885,9388.87193875373,600.0,1187.110283858386,3.2820484206888847,7.7286332620066,1141.2440298079716
Ba,135,4,-1.8709719441953583,2640.280192190177,27540.948973348695,600.0,1395.3637241498845,3.2927173010672535,7.753756554899191,3336.8335399000457
Ba,135,5,0.22935425436620374,-333.35638792609535,3669.8314728123646,600.0,1504.308124743354,3.4334958390984953,8.08526467182592,426.40244141392526
Ba,15,1,-6.301964088138034,2186.1880150859574,17730.466756249392,600.0,317.0202628637872,3.2601112858173202,7.676975258068342,2169.6907153395964
Ba,15,2,-0.26988694314780004,324.7473495208469,1937.3593668528458,600.0,1083.5853302260157,3.1669023095601725,7.457484896598486,244.05381858657955
Ba,15,3,-0.23830077142424227,308.0021984837392,4512.222340611933,600.0,1187.0304303045466,3.2544427695460985,7.663626922582544,553.1258301789627
Ba,15,4,-0.9869349463848001,1398.2149299780071,13180.109587994775,600.0,1395.1308475329133,3.356886007832933,7.904862308965147,1566.3633561036834
Ba,15,5,-0.06349114400404997,105.13452945299856,1788.6745448998297,600.0,1504.0666595036698,3.512525808279578,8.271366023852917,203.15236836460403
Ba,30,1,-7.121799945686062,2457.213379584448,19226.57990504486,600.0,317.04658551808774,3.195226077255622,7.524182271243084,2400.5487633727603
Ba,30,2,-0.5224569539599822,594.7678895683472,2056.114188350743,600.0,1083.682700194249,3.2578758965877586,7.671711318802786,251.78089939595793
Ba,30,3,-0.26254311679804676,333.1574019420267,4847.133508446611,600.0,1187.0184339164039,3.317632922540988,7.812428358657971,582.8633352196516
Ba,30,4,-1.1057004828953818,1564.0065633866202,14105.914658278363,600.0,1395.1610767918485,3.3380203459037836,7.860437070941148,1685.8633124519283
Ba,30,5,0.26377438859639996,-382.5901029379807,1760.2619322582386,600.0,1504.2580394424988,3.382414123145415,7.964976425465287,207.6158974893671
Ba,45,1,-7.988916869719456,2734.9115797036666,19316.43937865278,600.0,317.10370535268567,3.237218495521304,7.623066857623478,2380.483357608321
Ba,45,2,-0.17689856705481177,219.73486040954597,2213.3676648883434,600.0,1083.6064861537511,3.2786578620856237,7.720649106796468,269.3193447194536
Ba,45,3,-0.3238611871228838,409.0530559865279,4946.173579646413,600.0,1187.0943393925418,3.2772455879750444,7.717323455475395,602.102531254792
Ba,45,4,-1.2508254005454718,1766.3455751218664,14333.033212050608,600.0,1395.2454968523466,3.3053201396782312,7.783433971317093,1729.954435260393
Ba,45,5,0.07436047626600714,-103.71190269764006,1891.1153066469753,600.0,1504.4153099740975,3.401657228563551,8.010290474966022,221.78774617968682
Ba,60,1,-7.621299407441277,2622.9177200750605,20565.284446766764,600.0,317.1330441351784,3.2567796048688655,7.669129749137302,2519.163981830975
Ba,60,2,-0.1500082768236897,192.01858186195219,2176.982171650905,600.0,1083.596623541699,3.2942220300020866,7.757299920689514,263.6404792110679
Ba,60,3,-0.28843678748211277,366.5620981552516,5087.067505019117,600.0,1187.024141492743,3.2720156901677813,7.705007987520895,620.2434837968405
Ba,60,4,-0.9689426983622283,1370.9740043831214,15112.672033612995,600.0,1395.1855668356743,3.369444659594166,7.934435673305535,1789.3406033745102
Ba,60,5,0.09297858918328746,-130.0765786652863,2101.719910902301,600.0,1504.2782651147534,3.30043654383272,7.771933982148166,254.04668869575332
Ba,75,1,-8.253423142350583,2845.0160807241923,21655.957306770353,600.0,317.15722167249453,3.2042110594570907,7.545340287030747,2696.288495467777
Ba,75,2,-0.033825000210361174,64.82314145138004,2511.865199783844,600.0,1083.4800984927272,3.447266154356053,8.117691285600722,290.6910099835085
Ba,75,3,-0.31745995138401756,398.74251131256096,5736.139518845208,600.0,1187.0240902758862,3.3249330506566355,7.829618846347259,688.2510588648006
Ba,75,4,-1.3834370095880026,1955.0121950845576,16170.835757662722,600.0,1395.242770174213,3.2787087147969336,7.720768855778116,1967.6131584881475
Ba,75,5,-0.0987274528723916,158.72376963525136,2129.3707494836767,600.0,1504.3010231729238,3.3938981589623243,7.992019262687661,250.30098858696255
Ba,90,1,-8.97499351497707,3075.964644559934,24764.368955538994,600.0,317.2350101823131,3.2317293847336654,7.610140989758531,3057.0487602833496
